Name,Gender,Ethnicity,University,Specialty,Experience,GPA,Publications,InterviewScore,Hired
Catherine Saunders,Male,Other,UNIBEN,Family,Mid-level,3.53,4,2.2,0
Miranda Dalton,Female,Fulani,Other,Intellectual Property,Junior,5.0,0,2.0,0
Christopher Nguyen,Female,Ijaw,UNN,Human Rights,Mid-level,3.68,1,8.3,0
Allen Leonard,Female,Tiv,Covenant,Criminal,Mid-level,3.77,1,3.7,0
David Mccormick,Female,Igbo,Other,Family,Senior,2.63,0,2.1,0
Jason Kemp,Female,Other,UI,Corporate,Senior,3.09,0,1.8,0
Melissa Payne,Female,Tiv,LASU,Family,Junior,3.51,2,5.7,0
Justin Massey,Female,Yoruba,UI,Corporate,Senior,3.62,0,1.8,0
Stephanie Strong,Male,Tiv,UNN,Family,Mid-level,4.44,0,8.5,1
Samantha Dean,Female,Other,Other,Family,Mid-level,4.17,2,6.9,0
Gregory Hammond,Male,Tiv,UNIBEN,Human Rights,Senior,4.05,0,5.0,0
Jessica Warren,Male,Tiv,LASU,Intellectual Property,Junior,3.79,1,5.4,0
Lisa Thompson,Female,Igbo,ABU Zaria,Human Rights,Junior,4.87,0,1.7,0
Jennifer Murphy,Male,Igbo,UNN,Corporate,Junior,4.69,3,7.3,1
Jennifer Lowe,Female,Ijaw,UNIBEN,Corporate,Junior,4.68,0,1.8,0
Thomas Weber,Male,Ijaw,LASU,Corporate,Mid-level,3.89,2,7.5,0
Deanna Velazquez,Female,Hausa,ABU Zaria,Corporate,Mid-level,3.78,0,8.2,0
Jonathan Cummings,Male,Other,UNILAG,Family,Junior,3.99,1,7.0,0
Jason Abbott,Male,Hausa,UNN,Criminal,Senior,3.76,0,9.7,1
Tiffany Newman,Male,Hausa,UNN,Criminal,Mid-level,3.65,2,5.3,0
Marcus Huynh DDS,Male,Hausa,UNILAG,Tax,Junior,3.38,0,1.6,0
Jessica Walter,Female,Yoruba,ABU Zaria,Human Rights,Mid-level,4.03,1,3.6,0
Jeffrey Goodman,Male,Yoruba,LASU,Corporate,Junior,4.74,2,4.4,0
Cassidy Molina,Male,Other,UNN,Human Rights,Junior,4.46,2,3.5,0
Jason Ortega,Female,Yoruba,Babcock,Tax,Senior,4.26,1,2.1,0
Brett Walker,Male,Yoruba,UNILAG,Human Rights,Mid-level,4.17,1,2.9,0
Alicia Wood,Male,Igbo,UNILAG,Human Rights,Mid-level,3.37,0,1.7,0
Ashley Johnson,Female,Fulani,UI,Corporate,Junior,4.01,1,9.2,1
Kristina Odom,Female,Fulani,Covenant,Tax,Senior,3.7,0,2.6,0
Thomas Cain,Male,Tiv,Babcock,Family,Junior,3.4,3,5.3,0
Amanda Stevens,Male,Yoruba,UNIBEN,Human Rights,Junior,4.42,0,6.7,0
Dawn Harper,Female,Tiv,UNIBEN,Corporate,Junior,4.35,0,3.7,0
Wendy Johnson,Male,Ijaw,Babcock,Family,Junior,4.28,1,2.3,0
Holly Jones,Female,Fulani,UNILAG,Human Rights,Junior,3.75,1,4.4,0
